cliente_id,idade,estado_residencia,qtd_produtos_adquiridos,categoria_fidelidade
CLI-1980,22,Paraná (PR),1,Silver
CLI-6686,39,Rio de Janeiro (RJ),2,Silver
CLI-3250,51,Bahia (BA),2,Silver
CLI-6182,22,São Paulo (SP),1,Silver
CLI-4937,63,Paraná (PR),2,Silver
CLI-7417,65,Paraná (PR),4,Gold
CLI-6389,22,Paraná (PR),1,Silver
CLI-5872,35,Rio de Janeiro (RJ),2,Silver
CLI-3623,58,Paraná (PR),1,Silver
CLI-8553,43,São Paulo (SP),4,Gold
CLI-5178,59,Paraná (PR),2,Silver
CLI-2084,65,Minas Gerais (MG),4,Gold
CLI-5287,63,Minas Gerais (MG),2,Silver
CLI-7835,55,Bahia (BA),2,Silver
CLI-5439,37,Paraná (PR),4,Gold
CLI-5342,51,Bahia (BA),2,Silver
CLI-4521,51,Bahia (BA),2,Silver
CLI-4473,39,Paraná (PR),2,Silver
CLI-8248,37,Rio de Janeiro (RJ),4,Gold
CLI-2524,49,Bahia (BA),4,Gold
CLI-1122,63,São Paulo (SP),2,Silver
CLI-2713,65,Bahia (BA),4,Gold
CLI-8538,49,São Paulo (SP),4,Gold
CLI-6083,19,Rio de Janeiro (RJ),2,Silver
CLI-6702,20,Paraná (PR),3,Gold
CLI-6518,36,São Paulo (SP),4,Gold
CLI-2290,52,Rio de Janeiro (RJ),3,Gold
CLI-9051,34,Bahia (BA),1,Silver
CLI-1211,24,Paraná (PR),3,Gold
CLI-5609,33,São Paulo (SP),4,Gold
CLI-7800,39,Paraná (PR),2,Silver
CLI-8235,44,Minas Gerais (MG),3,Gold
CLI-1553,51,São Paulo (SP),4,Gold
CLI-2497,65,Rio de Janeiro (RJ),4,Gold
CLI-8264,57,Minas Gerais (MG),4,Gold
CLI-8909,51,Rio de Janeiro (RJ),2,Silver
CLI-3683,45,Minas Gerais (MG),4,Gold
CLI-2623,26,Rio de Janeiro (RJ),1,Silver
CLI-3321,53,São Paulo (SP),4,Gold
CLI-7079,32,Rio de Janeiro (RJ),3,Gold
CLI-2201,24,Paraná (PR),3,Gold
CLI-6565,37,Minas Gerais (MG),4,Gold
CLI-1944,48,Bahia (BA),3,Gold
CLI-9475,34,Rio de Janeiro (RJ),1,Silver
CLI-2018,33,São Paulo (SP),4,Gold
CLI-2475,33,Bahia (BA),4,Gold
CLI-2646,48,São Paulo (SP),4,Gold
CLI-2552,62,Bahia (BA),1,Silver
CLI-8686,57,Rio de Janeiro (RJ),4,Gold
CLI-5135,25,Rio de Janeiro (RJ),4,Gold
CLI-9291,22,Rio de Janeiro (RJ),1,Silver
CLI-3489,55,Paraná (PR),2,Silver
CLI-8240,57,Bahia (BA),4,Gold
CLI-4218,39,Rio de Janeiro (RJ),2,Silver
CLI-4443,40,São Paulo (SP),4,Gold
CLI-7913,64,Paraná (PR),3,Gold
CLI-6197,55,Rio de Janeiro (RJ),2,Silver
CLI-7842,28,Bahia (BA),3,Gold
CLI-4850,33,Rio de Janeiro (RJ),4,Gold
CLI-2052,35,São Paulo (SP),4,Gold
CLI-9521,28,Paraná (PR),3,Gold
CLI-4238,33,Bahia (BA),4,Gold
CLI-5448,50,São Paulo (SP),4,Gold
CLI-1514,22,Minas Gerais (MG),1,Silver
CLI-2551,19,Bahia (BA),2,Silver
CLI-3395,42,Minas Gerais (MG),1,Silver
CLI-3025,48,Paraná (PR),3,Gold
CLI-9923,46,Minas Gerais (MG),1,Silver
CLI-2429,32,Rio de Janeiro (RJ),3,Gold
CLI-9310,28,Paraná (PR),3,Gold
CLI-5785,37,Paraná (PR),4,Gold
CLI-8773,31,Bahia (BA),2,Silver
CLI-4514,32,Paraná (PR),3,Gold
CLI-8090,35,Bahia (BA),2,Silver
CLI-4073,40,Rio de Janeiro (RJ),3,Gold
CLI-8075,55,Paraná (PR),2,Silver
CLI-1435,47,Paraná (PR),2,Silver
CLI-9482,44,Minas Gerais (MG),3,Gold
CLI-5311,48,Paraná (PR),3,Gold
CLI-5665,35,São Paulo (SP),4,Gold
CLI-9687,41,Paraná (PR),4,Gold
CLI-4047,52,São Paulo (SP),4,Gold
CLI-5944,51,Bahia (BA),2,Silver
CLI-7811,61,Bahia (BA),4,Gold
CLI-6972,64,Paraná (PR),3,Gold
CLI-5057,62,Paraná (PR),1,Silver
CLI-8854,63,São Paulo (SP),2,Silver
CLI-4540,33,Rio de Janeiro (RJ),4,Gold
CLI-4027,54,Bahia (BA),1,Silver
CLI-8931,25,Minas Gerais (MG),4,Gold
CLI-5617,21,Bahia (BA),4,Gold
CLI-3347,64,Rio de Janeiro (RJ),3,Gold
CLI-8290,28,Rio de Janeiro (RJ),3,Gold
CLI-3352,52,São Paulo (SP),4,Gold
CLI-4466,29,Rio de Janeiro (RJ),4,Gold
CLI-7538,34,Minas Gerais (MG),1,Silver
CLI-6546,47,Minas Gerais (MG),2,Silver
CLI-3681,55,Minas Gerais (MG),2,Silver
CLI-4796,31,Bahia (BA),2,Silver
CLI-7357,62,Bahia (BA),1,Silver
CLI-4261,40,Paraná (PR),3,Gold
CLI-6088,60,São Paulo (SP),3,Gold
CLI-3181,37,Minas Gerais (MG),4,Gold
CLI-4855,34,Bahia (BA),1,Silver
CLI-7282,45,Bahia (BA),4,Gold
CLI-2854,23,São Paulo (SP),2,Silver
CLI-4895,53,Rio de Janeiro (RJ),4,Gold
CLI-6284,23,São Paulo (SP),2,Silver
CLI-1507,27,Rio de Janeiro (RJ),2,Silver
CLI-9765,20,Minas Gerais (MG),3,Gold
CLI-6398,51,Paraná (PR),2,Silver
CLI-5089,53,Bahia (BA),4,Gold
CLI-7025,53,Rio de Janeiro (RJ),4,Gold
CLI-4609,41,Minas Gerais (MG),4,Gold
CLI-8826,52,Minas Gerais (MG),3,Gold
CLI-7826,50,Bahia (BA),1,Silver
CLI-6186,20,Bahia (BA),3,Gold
CLI-2439,51,São Paulo (SP),4,Gold
CLI-1759,43,São Paulo (SP),4,Gold
CLI-5025,27,Paraná (PR),2,Silver
CLI-1837,52,Paraná (PR),3,Gold
CLI-9756,38,Paraná (PR),1,Silver
CLI-9410,64,Paraná (PR),3,Gold
CLI-8586,22,São Paulo (SP),1,Silver
CLI-6375,58,São Paulo (SP),1,Silver
CLI-8535,20,Bahia (BA),3,Gold
CLI-8261,62,Rio de Janeiro (RJ),1,Silver
CLI-5555,27,Rio de Janeiro (RJ),2,Silver
CLI-6046,62,Minas Gerais (MG),1,Silver
CLI-7575,54,Bahia (BA),1,Silver
CLI-9025,45,São Paulo (SP),4,Gold
CLI-3839,59,Minas Gerais (MG),2,Silver
CLI-9182,40,Bahia (BA),3,Gold
CLI-9758,45,Rio de Janeiro (RJ),4,Gold
CLI-4283,41,São Paulo (SP),4,Gold
CLI-5095,54,Paraná (PR),1,Silver
CLI-8439,28,Rio de Janeiro (RJ),3,Gold
CLI-6332,24,Bahia (BA),3,Gold
CLI-1498,55,São Paulo (SP),4,Gold
CLI-1562,46,Rio de Janeiro (RJ),1,Silver
CLI-9724,26,Minas Gerais (MG),1,Silver
CLI-2916,43,Rio de Janeiro (RJ),2,Silver
CLI-7196,49,Rio de Janeiro (RJ),4,Gold
CLI-3899,42,São Paulo (SP),4,Gold
CLI-7329,63,Paraná (PR),2,Silver
CLI-7631,40,Rio de Janeiro (RJ),3,Gold
CLI-8029,38,Rio de Janeiro (RJ),1,Silver
CLI-3666,32,Bahia (BA),3,Gold
CLI-4150,60,Rio de Janeiro (RJ),3,Gold
CLI-2821,61,São Paulo (SP),4,Gold
CLI-9169,57,São Paulo (SP),4,Gold
CLI-5416,24,Bahia (BA),3,Gold
CLI-4990,45,Rio de Janeiro (RJ),4,Gold
CLI-9592,41,Rio de Janeiro (RJ),4,Gold
CLI-7916,33,Paraná (PR),4,Gold
CLI-4569,46,Minas Gerais (MG),1,Silver
CLI-2652,62,Bahia (BA),1,Silver
CLI-9285,58,Paraná (PR),1,Silver
CLI-7731,39,Bahia (BA),2,Silver
CLI-7144,28,Minas Gerais (MG),3,Gold
CLI-2689,37,São Paulo (SP),4,Gold
CLI-2576,44,Bahia (BA),3,Gold
CLI-3714,56,Bahia (BA),3,Gold
CLI-7335,58,São Paulo (SP),1,Silver
CLI-8495,27,São Paulo (SP),2,Silver
CLI-2214,48,Paraná (PR),3,Gold
CLI-8578,46,São Paulo (SP),4,Gold
CLI-3169,37,São Paulo (SP),4,Gold
CLI-8720,57,Bahia (BA),4,Gold
CLI-6693,36,Minas Gerais (MG),3,Gold
CLI-4187,39,Paraná (PR),2,Silver
CLI-5382,51,São Paulo (SP),4,Gold
CLI-8396,51,Minas Gerais (MG),2,Silver
CLI-3596,22,Bahia (BA),1,Silver
CLI-4847,46,Paraná (PR),1,Silver
CLI-1535,50,São Paulo (SP),4,Gold
CLI-5853,64,Minas Gerais (MG),3,Gold
CLI-3852,46,Rio de Janeiro (RJ),1,Silver
CLI-7688,23,Minas Gerais (MG),2,Silver
CLI-1450,50,São Paulo (SP),4,Gold
CLI-5131,20,Minas Gerais (MG),3,Gold
CLI-7477,29,São Paulo (SP),4,Gold
CLI-2677,54,Paraná (PR),1,Silver
CLI-9234,30,Paraná (PR),1,Silver
CLI-6115,37,São Paulo (SP),4,Gold
CLI-2833,30,São Paulo (SP),1,Silver
CLI-2002,51,Rio de Janeiro (RJ),2,Silver
CLI-5946,34,Bahia (BA),1,Silver
CLI-8103,18,Rio de Janeiro (RJ),1,Silver
CLI-6495,50,Paraná (PR),1,Silver
CLI-6228,52,Paraná (PR),3,Gold
CLI-8792,49,São Paulo (SP),4,Gold
CLI-5904,42,Paraná (PR),1,Silver
CLI-6080,38,Rio de Janeiro (RJ),1,Silver
CLI-5017,30,Paraná (PR),1,Silver
CLI-4788,47,Minas Gerais (MG),2,Silver
CLI-6662,36,Rio de Janeiro (RJ),3,Gold
CLI-6270,23,Rio de Janeiro (RJ),2,Silver
CLI-4643,65,Minas Gerais (MG),4,Gold
CLI-2535,34,Bahia (BA),1,Silver
CLI-2253,34,Minas Gerais (MG),1,Silver
CLI-1250,46,Minas Gerais (MG),1,Silver
CLI-8041,32,Paraná (PR),3,Gold
CLI-7086,23,Minas Gerais (MG),2,Silver
CLI-3355,60,São Paulo (SP),3,Gold
CLI-1751,27,Paraná (PR),2,Silver
CLI-2565,31,Paraná (PR),2,Silver
CLI-2940,30,Rio de Janeiro (RJ),1,Silver
CLI-6007,42,Bahia (BA),1,Silver
CLI-6410,61,Rio de Janeiro (RJ),4,Gold
CLI-3231,54,São Paulo (SP),4,Gold
CLI-8522,32,Minas Gerais (MG),3,Gold
CLI-8743,59,São Paulo (SP),2,Silver
CLI-1255,60,Paraná (PR),3,Gold
CLI-5869,37,São Paulo (SP),4,Gold
CLI-2412,24,São Paulo (SP),3,Gold
CLI-3124,32,Paraná (PR),3,Gold
CLI-6381,58,São Paulo (SP),1,Silver
CLI-4139,51,Rio de Janeiro (RJ),2,Silver
CLI-8679,63,Paraná (PR),2,Silver
CLI-4429,57,Paraná (PR),4,Gold
CLI-3094,21,Minas Gerais (MG),4,Gold
CLI-6889,57,Rio de Janeiro (RJ),4,Gold
CLI-1989,24,Rio de Janeiro (RJ),3,Gold
CLI-7383,51,Minas Gerais (MG),2,Silver
CLI-7072,62,Minas Gerais (MG),1,Silver
CLI-8954,20,Minas Gerais (MG),3,Gold
CLI-1192,50,Rio de Janeiro (RJ),1,Silver
CLI-6983,21,Rio de Janeiro (RJ),4,Gold
CLI-8226,24,Paraná (PR),3,Gold
CLI-2589,57,Bahia (BA),4,Gold
CLI-3630,21,São Paulo (SP),4,Gold
CLI-3724,30,Bahia (BA),1,Silver
CLI-8580,36,Minas Gerais (MG),3,Gold
CLI-4282,51,Minas Gerais (MG),2,Silver
CLI-6033,43,São Paulo (SP),4,Gold
CLI-7990,34,São Paulo (SP),1,Silver
CLI-4608,55,Minas Gerais (MG),2,Silver
CLI-3965,57,São Paulo (SP),4,Gold
CLI-2787,29,Rio de Janeiro (RJ),4,Gold
CLI-4424,59,Rio de Janeiro (RJ),2,Silver
CLI-3931,34,São Paulo (SP),1,Silver
CLI-3827,40,Rio de Janeiro (RJ),3,Gold
CLI-1683,25,Bahia (BA),4,Gold
CLI-3874,25,Paraná (PR),4,Gold
CLI-6068,22,São Paulo (SP),1,Silver
CLI-1258,30,Rio de Janeiro (RJ),1,Silver
CLI-9561,49,Paraná (PR),4,Gold
CLI-2353,45,Bahia (BA),4,Gold
CLI-4904,64,Paraná (PR),3,Gold
CLI-9552,63,Rio de Janeiro (RJ),2,Silver
CLI-1068,30,Rio de Janeiro (RJ),1,Silver
CLI-7662,41,São Paulo (SP),4,Gold
CLI-3482,65,Bahia (BA),4,Gold
CLI-8369,58,Minas Gerais (MG),1,Silver
CLI-1359,54,Rio de Janeiro (RJ),1,Silver
CLI-9004,65,São Paulo (SP),4,Gold
CLI-3555,29,Paraná (PR),4,Gold
CLI-1958,47,Paraná (PR),2,Silver
CLI-7921,59,Paraná (PR),2,Silver
CLI-9072,32,Bahia (BA),3,Gold
CLI-4627,30,Bahia (BA),1,Silver
CLI-5503,63,Bahia (BA),2,Silver
CLI-1247,28,São Paulo (SP),3,Gold
CLI-1069,19,Bahia (BA),2,Silver
CLI-7585,30,Minas Gerais (MG),1,Silver
CLI-5236,32,Bahia (BA),3,Gold
CLI-6923,18,Bahia (BA),1,Silver
CLI-8892,28,Paraná (PR),3,Gold
CLI-4914,22,Bahia (BA),1,Silver
CLI-6611,34,São Paulo (SP),1,Silver
CLI-7513,38,Minas Gerais (MG),1,Silver
CLI-4799,29,Minas Gerais (MG),4,Gold
CLI-6552,36,Bahia (BA),3,Gold
CLI-5714,28,Rio de Janeiro (RJ),3,Gold
CLI-9222,44,Rio de Janeiro (RJ),3,Gold
CLI-7954,64,Bahia (BA),3,Gold
CLI-1688,24,Minas Gerais (MG),3,Gold
CLI-3815,50,São Paulo (SP),4,Gold
CLI-4526,33,São Paulo (SP),4,Gold
CLI-1141,55,Paraná (PR),2,Silver
CLI-6780,59,Paraná (PR),2,Silver
CLI-2318,63,Paraná (PR),2,Silver
CLI-8643,56,Rio de Janeiro (RJ),3,Gold
CLI-7344,33,Rio de Janeiro (RJ),4,Gold
CLI-5873,46,Paraná (PR),1,Silver
CLI-6911,62,São Paulo (SP),1,Silver
CLI-4255,47,Minas Gerais (MG),2,Silver
CLI-5939,60,Rio de Janeiro (RJ),3,Gold
CLI-6156,32,Minas Gerais (MG),3,Gold
CLI-9652,49,Minas Gerais (MG),4,Gold
CLI-3567,33,São Paulo (SP),4,Gold
CLI-2230,45,Paraná (PR),4,Gold
CLI-4597,59,Minas Gerais (MG),2,Silver
CLI-4269,21,São Paulo (SP),4,Gold
CLI-8814,26,Paraná (PR),1,Silver
CLI-8076,41,Bahia (BA),4,Gold
CLI-3129,64,Bahia (BA),3,Gold
CLI-1407,32,Paraná (PR),3,Gold
CLI-1899,48,Minas Gerais (MG),3,Gold
CLI-4786,35,Paraná (PR),2,Silver
CLI-4350,47,São Paulo (SP),4,Gold
CLI-9469,31,Minas Gerais (MG),2,Silver
CLI-4354,63,Paraná (PR),2,Silver
CLI-4190,31,Paraná (PR),2,Silver
CLI-4637,57,Minas Gerais (MG),4,Gold
CLI-8693,18,Paraná (PR),1,Silver
CLI-3126,20,São Paulo (SP),3,Gold
CLI-1341,21,Rio de Janeiro (RJ),4,Gold
CLI-4681,44,Rio de Janeiro (RJ),3,Gold
CLI-5349,18,Rio de Janeiro (RJ),1,Silver
CLI-8494,34,Paraná (PR),1,Silver
CLI-2774,64,Paraná (PR),3,Gold
CLI-6094,47,Paraná (PR),2,Silver
CLI-8323,18,Bahia (BA),1,Silver
CLI-4523,23,São Paulo (SP),2,Silver
CLI-8237,65,Bahia (BA),4,Gold
CLI-5290,59,Bahia (BA),2,Silver
CLI-8993,30,Bahia (BA),1,Silver
CLI-6407,21,Paraná (PR),4,Gold
CLI-5213,24,Rio de Janeiro (RJ),3,Gold
CLI-5176,48,Rio de Janeiro (RJ),3,Gold
CLI-2144,46,Paraná (PR),1,Silver
CLI-8059,43,Rio de Janeiro (RJ),2,Silver
CLI-1684,26,Minas Gerais (MG),1,Silver
CLI-3574,51,Minas Gerais (MG),2,Silver
CLI-2729,19,São Paulo (SP),2,Silver
CLI-3811,33,Minas Gerais (MG),4,Gold
CLI-2085,62,Bahia (BA),1,Silver
CLI-9999,35,Bahia (BA),2,Silver
CLI-3891,54,Paraná (PR),1,Silver
CLI-4610,29,Minas Gerais (MG),4,Gold
CLI-9632,33,Minas Gerais (MG),4,Gold
CLI-4913,33,Rio de Janeiro (RJ),4,Gold
CLI-1318,54,Minas Gerais (MG),1,Silver
CLI-7574,40,Bahia (BA),3,Gold
CLI-3468,56,São Paulo (SP),3,Gold
CLI-2061,35,Paraná (PR),2,Silver
CLI-6694,47,São Paulo (SP),4,Gold
CLI-1741,40,Paraná (PR),3,Gold
CLI-6443,61,Paraná (PR),4,Gold
CLI-7601,30,São Paulo (SP),1,Silver
CLI-4839,40,Minas Gerais (MG),3,Gold
CLI-9290,20,Minas Gerais (MG),3,Gold
CLI-8822,62,Bahia (BA),1,Silver
CLI-7491,23,Minas Gerais (MG),2,Silver
CLI-9311,22,Bahia (BA),1,Silver
CLI-7658,59,Minas Gerais (MG),2,Silver
CLI-3576,29,Paraná (PR),4,Gold
CLI-5431,37,Paraná (PR),4,Gold
CLI-9557,45,São Paulo (SP),4,Gold
CLI-2198,60,São Paulo (SP),3,Gold
CLI-1275,63,Bahia (BA),2,Silver
CLI-7346,50,São Paulo (SP),4,Gold
CLI-4182,39,São Paulo (SP),4,Gold
CLI-6385,54,Bahia (BA),1,Silver
CLI-9905,50,São Paulo (SP),4,Gold
CLI-1991,38,Minas Gerais (MG),1,Silver
CLI-8111,61,Paraná (PR),4,Gold
CLI-7757,50,Rio de Janeiro (RJ),1,Silver
CLI-4152,44,São Paulo (SP),4,Gold
CLI-1930,47,Rio de Janeiro (RJ),2,Silver
CLI-3074,44,São Paulo (SP),4,Gold
CLI-7514,24,São Paulo (SP),3,Gold
CLI-8916,24,Minas Gerais (MG),3,Gold
CLI-4327,25,Minas Gerais (MG),4,Gold
CLI-8695,43,Minas Gerais (MG),2,Silver
CLI-2818,56,Minas Gerais (MG),3,Gold
CLI-4885,59,Minas Gerais (MG),2,Silver
CLI-2115,26,Minas Gerais (MG),1,Silver
CLI-7769,57,Rio de Janeiro (RJ),4,Gold
CLI-9273,57,Minas Gerais (MG),4,Gold
CLI-7358,26,Bahia (BA),1,Silver
CLI-6993,30,Rio de Janeiro (RJ),1,Silver
CLI-9246,39,Paraná (PR),2,Silver
CLI-8287,31,Bahia (BA),2,Silver
CLI-4147,44,Bahia (BA),3,Gold
CLI-3678,51,Rio de Janeiro (RJ),2,Silver
CLI-2433,23,Minas Gerais (MG),2,Silver
CLI-9680,52,Minas Gerais (MG),3,Gold
CLI-3545,59,Bahia (BA),2,Silver
CLI-7650,43,Rio de Janeiro (RJ),2,Silver
CLI-4225,37,Paraná (PR),4,Gold
CLI-6580,51,Bahia (BA),2,Silver
CLI-8407,29,Minas Gerais (MG),4,Gold
CLI-8360,31,São Paulo (SP),2,Silver
CLI-1467,56,São Paulo (SP),3,Gold
CLI-8034,61,Paraná (PR),4,Gold
CLI-5497,57,Bahia (BA),4,Gold
CLI-1375,29,São Paulo (SP),4,Gold
CLI-8205,28,Rio de Janeiro (RJ),3,Gold
CLI-6600,29,Minas Gerais (MG),4,Gold
CLI-2704,37,Rio de Janeiro (RJ),4,Gold
CLI-8347,26,Rio de Janeiro (RJ),1,Silver
CLI-3635,27,Bahia (BA),2,Silver
CLI-2686,22,Bahia (BA),1,Silver
CLI-6161,32,Rio de Janeiro (RJ),3,Gold
CLI-2862,48,São Paulo (SP),4,Gold
CLI-2964,48,Rio de Janeiro (RJ),3,Gold
CLI-6203,34,São Paulo (SP),1,Silver
CLI-1489,57,Paraná (PR),4,Gold
CLI-8662,42,Rio de Janeiro (RJ),1,Silver
CLI-7915,52,Rio de Janeiro (RJ),3,Gold
CLI-1750,27,Bahia (BA),2,Silver
CLI-5031,50,Bahia (BA),1,Silver
CLI-6903,22,São Paulo (SP),1,Silver
CLI-3069,48,Rio de Janeiro (RJ),3,Gold
CLI-8314,40,Paraná (PR),3,Gold
CLI-5884,18,Minas Gerais (MG),1,Silver
CLI-2267,37,Paraná (PR),4,Gold
CLI-4657,50,Rio de Janeiro (RJ),1,Silver
CLI-7121,61,São Paulo (SP),4,Gold
CLI-8345,57,São Paulo (SP),4,Gold
CLI-5997,56,Minas Gerais (MG),3,Gold
CLI-6315,62,Rio de Janeiro (RJ),1,Silver
CLI-1183,55,Bahia (BA),2,Silver
CLI-2721,41,Rio de Janeiro (RJ),4,Gold
CLI-1437,42,São Paulo (SP),4,Gold
CLI-3989,26,Paraná (PR),1,Silver
CLI-7721,45,Bahia (BA),4,Gold
CLI-2857,42,São Paulo (SP),4,Gold
CLI-1619,43,Rio de Janeiro (RJ),2,Silver
CLI-9762,48,Minas Gerais (MG),3,Gold
CLI-4984,31,São Paulo (SP),2,Silver
CLI-8498,22,Rio de Janeiro (RJ),1,Silver
CLI-9809,49,Minas Gerais (MG),4,Gold
CLI-9127,60,Paraná (PR),3,Gold
CLI-3144,41,São Paulo (SP),4,Gold
CLI-8921,65,São Paulo (SP),4,Gold
CLI-2029,43,Rio de Janeiro (RJ),2,Silver
CLI-8125,44,Minas Gerais (MG),3,Gold
CLI-5324,45,Minas Gerais (MG),4,Gold
CLI-3127,49,São Paulo (SP),4,Gold
CLI-3670,28,Rio de Janeiro (RJ),3,Gold
CLI-1138,23,Paraná (PR),2,Silver
CLI-5144,28,Bahia (BA),3,Gold
CLI-4459,63,Minas Gerais (MG),2,Silver
CLI-6343,51,Paraná (PR),2,Silver
CLI-6312,46,Rio de Janeiro (RJ),1,Silver
CLI-7484,32,Bahia (BA),3,Gold
CLI-1490,57,São Paulo (SP),4,Gold
CLI-8093,42,Rio de Janeiro (RJ),1,Silver
CLI-5774,63,São Paulo (SP),2,Silver
CLI-9366,42,Paraná (PR),1,Silver
CLI-6915,46,São Paulo (SP),4,Gold
CLI-6072,37,Paraná (PR),4,Gold
CLI-8404,28,Bahia (BA),3,Gold
CLI-4343,40,São Paulo (SP),4,Gold
CLI-7971,23,São Paulo (SP),2,Silver
CLI-4980,60,Bahia (BA),3,Gold
CLI-2785,22,Minas Gerais (MG),1,Silver
CLI-4596,35,Bahia (BA),2,Silver
CLI-1592,19,Bahia (BA),2,Silver
CLI-7895,20,Rio de Janeiro (RJ),3,Gold
CLI-8985,36,Bahia (BA),3,Gold
CLI-4481,37,Rio de Janeiro (RJ),4,Gold
CLI-4682,22,Rio de Janeiro (RJ),1,Silver
CLI-5394,49,Bahia (BA),4,Gold
CLI-7925,43,São Paulo (SP),4,Gold
